project;class;from;to;metric
Jext;org.jext.gui.OptionGroup;List;Set;0.69
Jext;org.jext.gui.SkinManager;Map;List;0.55
Jext;org.jext.gui.SkinManager;Map;Set;1.0
Jext;org.jext.gui.SplashScreen;List;Map;0.0
Jext;org.jext.gui.SplashScreen;List;Set;0.0
Jext;org.jext.menus.JextMenuBar;Map;List;0.72
Jext;org.jext.menus.JextMenuBar;Map;Set;1.0
Jext;org.jext.misc.AboutPlugins;List;Map;0.0
Jext;org.jext.misc.AboutPlugins;List;Set;0.85
Jext;org.jext.misc.FindAccessory.FindTabs;List;Map;0.0
Jext;org.jext.misc.FindAccessory.FindTabs;List;Set;0.0
Jext;org.jext.misc.SaveDialog;List;Map;0.66
Jext;org.jext.misc.SaveDialog;List;Set;0.6
Jext;org.jext.misc.VersionCheck;List;Map;0.0
Jext;org.jext.misc.VersionCheck;List;Set;1.0
Jext;org.jext.misc.VirtualFolders.DnDHandler;List;Map;1.0
Jext;org.jext.misc.VirtualFolders.DnDHandler;List;Set;0.0
Jext;org.jext.misc.VirtualFolders;List;Map;0.0
Jext;org.jext.misc.VirtualFolders;List;Set;0.85
Jext;org.jext.misc.Workspaces.DnDHandler;List;Map;1.0
Jext;org.jext.misc.Workspaces.DnDHandler;List;Set;0.0
Jext;org.jext.misc.Workspaces.WorkspaceElement;List;Map;0.0
Jext;org.jext.misc.Workspaces.WorkspaceElement;List;Set;0.0
Jext;org.jext.misc.Workspaces.WorkspacesHandler;List;Map;0.0
Jext;org.jext.misc.Workspaces.WorkspacesHandler;List;Set;0.0
Jext;org.jext.misc.Workspaces;List;Map;0.49
Jext;org.jext.misc.Workspaces;List;Set;0.69
Jext;org.jext.misc.ZipExplorer.ZipTableModel;List;Map;0.39
Jext;org.jext.misc.ZipExplorer.ZipTableModel;List;Set;0.6
Jext;org.jext.options.ColorTable.ColorTableModel;List;Map;0.39
Jext;org.jext.options.ColorTable.ColorTableModel;List;Set;0.6
Jext;org.jext.options.ColorTable.ColorTableModel;Map;List;1.0
Jext;org.jext.options.ColorTable.ColorTableModel;Map;Set;1.0
Jext;org.jext.options.ColorTable.ColorTableModel;Set;List;0.0
Jext;org.jext.options.ColorTable.ColorTableModel;Set;Map;1.0
Jext;org.jext.options.EditorOptions;List;Map;0.0
Jext;org.jext.options.EditorOptions;List;Set;0.85
Jext;org.jext.options.FileFiltersOptions.FiltersTableModel;List;Map;0.39
Jext;org.jext.options.FileFiltersOptions.FiltersTableModel;List;Set;0.6
Jext;org.jext.options.FileFiltersOptions;List;Map;0.0
Jext;org.jext.options.FileFiltersOptions;List;Set;0.85
Jext;org.jext.options.KeyShortcutsOptions;Map;List;0.0
Jext;org.jext.options.KeyShortcutsOptions;Map;Set;0.62
Jext;org.jext.options.OptionsDialog;List;Map;0.66
Jext;org.jext.options.OptionsDialog;List;Set;0.6
Jext;org.jext.options.StyleTable.StyleTableModel;List;Map;0.39
Jext;org.jext.options.StyleTable.StyleTableModel;List;Set;0.6
