project;class;from;to;metric
Quartz;org.quartz.listeners.FilterAndBroadcastTriggerListener;List;Map;0.7
Quartz;org.quartz.listeners.FilterAndBroadcastTriggerListener;List;Set;0.0
Quartz;org.quartz.listeners.JobChainingJobListener;Map;List;0.55
Quartz;org.quartz.listeners.JobChainingJobListener;Map;Set;1.0
Quartz;org.quartz.plugins.xml.XMLSchedulingDataProcessorPlugin;Map;List;0.66
Quartz;org.quartz.plugins.xml.XMLSchedulingDataProcessorPlugin;Map;Set;0.98
Quartz;org.quartz.plugins.xml.XMLSchedulingDataProcessorPlugin;Set;List;0.0
Quartz;org.quartz.plugins.xml.XMLSchedulingDataProcessorPlugin;Set;Map;1.0
Quartz;org.quartz.simpl.CascadingClassLoadHelper;List;Map;1.0
Quartz;org.quartz.simpl.CascadingClassLoadHelper;List;Set;0.0
Quartz;org.quartz.simpl.PropertySettingJobFactory;Map;List;1.0
Quartz;org.quartz.simpl.PropertySettingJobFactory;Map;Set;1.0
Quartz;org.quartz.simpl.PropertySettingJobFactory;Set;List;0.0
Quartz;org.quartz.simpl.PropertySettingJobFactory;Set;Map;1.0
Quartz;org.quartz.simpl.RAMJobStore;List;Map;0.66
Quartz;org.quartz.simpl.RAMJobStore;List;Set;0.6
Quartz;org.quartz.simpl.RAMJobStore;Map;List;0.52
Quartz;org.quartz.simpl.RAMJobStore;Map;Set;0.8
Quartz;org.quartz.simpl.RAMJobStore;Set;List;0.32
Quartz;org.quartz.simpl.RAMJobStore;Set;Map;0.8
Quartz;org.quartz.simpl.SimpleThreadPool;List;Map;0.94
Quartz;org.quartz.simpl.SimpleThreadPool;List;Set;0.6
Quartz;org.quartz.utils.DBConnectionManager;Map;List;0.55
Quartz;org.quartz.utils.DBConnectionManager;Map;Set;1.0
Quartz;org.quartz.utils.DirtyFlagMap.DirtyFlagMapEntrySet;Set;List;0.0
Quartz;org.quartz.utils.DirtyFlagMap.DirtyFlagMapEntrySet;Set;Map;1.0
Quartz;org.quartz.utils.DirtyFlagMap;Map;List;0.62
Quartz;org.quartz.utils.DirtyFlagMap;Map;Set;0.82
Quartz;org.quartz.utils.PropertiesParser;List;Map;0.66
Quartz;org.quartz.utils.PropertiesParser;List;Set;0.6
Quartz;org.quartz.utils.PropertiesParser;Map;List;1.0
Quartz;org.quartz.utils.PropertiesParser;Map;Set;1.0
Quartz;org.quartz.utils.PropertiesParser;Set;List;0.0
Quartz;org.quartz.utils.PropertiesParser;Set;Map;0.62
Quartz;org.quartz.utils.StringKeyDirtyFlagMap;Map;List;1.0
Quartz;org.quartz.utils.StringKeyDirtyFlagMap;Map;Set;1.0
Quartz;org.quartz.utils.StringKeyDirtyFlagMap;Set;List;0.0
Quartz;org.quartz.utils.StringKeyDirtyFlagMap;Set;Map;1.0
Quartz;org.quartz.utils.counter.CounterManagerImpl;List;Map;1.0
Quartz;org.quartz.utils.counter.CounterManagerImpl;List;Set;0.0
Quartz;org.quartz.xml.XMLSchedulingDataProcessor;List;Map;0.8
Quartz;org.quartz.xml.XMLSchedulingDataProcessor;List;Set;0.0
Quartz;org.quartz.xml.XMLSchedulingDataProcessor;Map;List;0.55
Quartz;org.quartz.xml.XMLSchedulingDataProcessor;Map;Set;1.0
