project;class;from;to;metric
PMD;net.sourceforge.pmd.dfa.DaaRule;Map;Set;1.0
PMD;net.sourceforge.pmd.dfa.DataFlowNode;List;Map;0.63
PMD;net.sourceforge.pmd.dfa.DataFlowNode;List;Set;0.75
PMD;net.sourceforge.pmd.dfa.DataFlowNode;Map;List;0.57
PMD;net.sourceforge.pmd.dfa.DataFlowNode;Map;Set;0.83
PMD;net.sourceforge.pmd.dfa.Linker;List;Map;0.33
PMD;net.sourceforge.pmd.dfa.Linker;List;Set;0.9
PMD;net.sourceforge.pmd.dfa.SequenceChecker.Status;List;Map;0.39
PMD;net.sourceforge.pmd.dfa.SequenceChecker.Status;List;Set;0.6
PMD;net.sourceforge.pmd.dfa.SequenceChecker;List;Map;0.0
PMD;net.sourceforge.pmd.dfa.SequenceChecker;List;Set;0.85
PMD;net.sourceforge.pmd.dfa.StartOrEndDataFlowNode;List;Map;1.0
PMD;net.sourceforge.pmd.dfa.StartOrEndDataFlowNode;List;Set;1.0
PMD;net.sourceforge.pmd.dfa.Structure;List;Map;1.0
PMD;net.sourceforge.pmd.dfa.Structure;List;Set;1.0
PMD;net.sourceforge.pmd.dfa.pathfinder.CurrentPath;List;Map;0.92
PMD;net.sourceforge.pmd.dfa.pathfinder.CurrentPath;List;Set;0.9
PMD;net.sourceforge.pmd.dfa.pathfinder.DAAPathFinder;List;Map;0.0
PMD;net.sourceforge.pmd.dfa.pathfinder.DAAPathFinder;List;Set;0.85
PMD;net.sourceforge.pmd.dfa.report.AbstractReportNode;List;Map;0.39
PMD;net.sourceforge.pmd.dfa.report.AbstractReportNode;List;Set;0.6
PMD;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;List;Map;0.39
PMD;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;List;Set;0.6
PMD;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;Map;List;1.0
PMD;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;Map;Set;1.0
PMD;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;Set;List;0.0
PMD;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;Set;Map;1.0
PMD;net.sourceforge.pmd.jaxen.AttributeAxisIterator;List;Map;0.97
PMD;net.sourceforge.pmd.jaxen.AttributeAxisIterator;List;Set;0.0
PMD;net.sourceforge.pmd.jaxen.AttributeAxisIterator;Map;List;0.72
PMD;net.sourceforge.pmd.jaxen.AttributeAxisIterator;Map;Set;1.0
PMD;net.sourceforge.pmd.jaxen.MatchesFunction;List;Map;0.44
PMD;net.sourceforge.pmd.jaxen.MatchesFunction;List;Set;0.85
PMD;net.sourceforge.pmd.jaxen.TypeOfFunction;List;Map;0.41
PMD;net.sourceforge.pmd.jaxen.TypeOfFunction;List;Set;0.6
PMD;net.sourceforge.pmd.jsp.ast.JJTJspParserState;List;Map;0.31
PMD;net.sourceforge.pmd.jsp.ast.JJTJspParserState;List;Set;0.6
PMD;net.sourceforge.pmd.jsp.ast.JspParser;List;Map;0.52
PMD;net.sourceforge.pmd.jsp.ast.JspParser;List;Set;0.6
PMD;net.sourceforge.pmd.jsp.ast.JspRuleChainVisitor;List;Map;0.0
PMD;net.sourceforge.pmd.jsp.ast.JspRuleChainVisitor;List;Set;0.85
PMD;net.sourceforge.pmd.jsp.rules.AbstractJspRule;List;Map;1.0
PMD;net.sourceforge.pmd.jsp.rules.AbstractJspRule;List;Set;0.0
PMD;net.sourceforge.pmd.jsp.rules.DuplicateJspImports;Set;List;0.0
PMD;net.sourceforge.pmd.jsp.rules.DuplicateJspImports;Set;Map;0.77
PMD;net.sourceforge.pmd.jsp.rules.NoInlineStyleInformation;Set;List;0.0
PMD;net.sourceforge.pmd.jsp.rules.NoInlineStyleInformation;Set;Map;1.0
PMD;net.sourceforge.pmd.properties.EnumeratedProperty;Map;List;0.57
PMD;net.sourceforge.pmd.properties.EnumeratedProperty;Map;Set;1.0
PMD;net.sourceforge.pmd.renderers.HTMLRenderer;List;Map;0.0
PMD;net.sourceforge.pmd.renderers.HTMLRenderer;List;Set;0.0
PMD;net.sourceforge.pmd.renderers.IDEAJRenderer.SourcePath;Set;List;0.0
PMD;net.sourceforge.pmd.renderers.IDEAJRenderer.SourcePath;Set;Map;1.0
PMD;net.sourceforge.pmd.renderers.OnTheFlyRenderer;List;Map;1.0
PMD;net.sourceforge.pmd.renderers.OnTheFlyRenderer;List;Set;0.0
PMD;net.sourceforge.pmd.renderers.PapariTextRenderer;Map;List;1.0
PMD;net.sourceforge.pmd.renderers.PapariTextRenderer;Map;Set;1.0
PMD;net.sourceforge.pmd.renderers.SummaryHTMLRenderer;Map;List;1.0
PMD;net.sourceforge.pmd.renderers.SummaryHTMLRenderer;Map;Set;1.0
PMD;net.sourceforge.pmd.renderers.TextRenderer;List;Map;0.0
PMD;net.sourceforge.pmd.renderers.TextRenderer;List;Set;0.0
PMD;net.sourceforge.pmd.renderers.VBHTMLRenderer;List;Map;0.0
PMD;net.sourceforge.pmd.renderers.VBHTMLRenderer;List;Set;0.0
PMD;net.sourceforge.pmd.rules.AbstractPoorMethodCall;List;Map;0.0
PMD;net.sourceforge.pmd.rules.AbstractPoorMethodCall;List;Set;0.85
PMD;net.sourceforge.pmd.rules.AccessorClassGeneration.AllocData;List;Map;0.93
PMD;net.sourceforge.pmd.rules.AccessorClassGeneration.AllocData;List;Set;0.92
PMD;net.sourceforge.pmd.rules.AccessorClassGeneration.ClassData;List;Map;1.0
PMD;net.sourceforge.pmd.rules.AccessorClassGeneration.ClassData;List;Set;0.0
PMD;net.sourceforge.pmd.rules.AccessorClassGeneration;List;Map;0.31
PMD;net.sourceforge.pmd.rules.AccessorClassGeneration;List;Set;0.6
