project;class;from;to;metric
Jedit;org.gjt.sp.jedit.gui.ExtendedGridLayout;Map;List;0.84
Jedit;org.gjt.sp.jedit.gui.ExtendedGridLayout;Map;Set;0.92
Jedit;org.gjt.sp.jedit.gui.ExtendedGridLayout;Set;List;0.75
Jedit;org.gjt.sp.jedit.gui.ExtendedGridLayout;Set;Map;1.0
Jedit;org.gjt.sp.jedit.gui.FilteredListModel;List;Map;0.83
Jedit;org.gjt.sp.jedit.gui.FilteredListModel;List;Set;0.96
Jedit;org.gjt.sp.jedit.gui.FilteredListModel;Map;List;0.75
Jedit;org.gjt.sp.jedit.gui.FilteredListModel;Map;Set;1.0
Jedit;org.gjt.sp.jedit.gui.FilteredListModel;Set;List;0.75
Jedit;org.gjt.sp.jedit.gui.FilteredListModel;Set;Map;1.0
Jedit;org.gjt.sp.jedit.gui.FilteredTableModel;List;Map;0.88
Jedit;org.gjt.sp.jedit.gui.FilteredTableModel;List;Set;0.88
Jedit;org.gjt.sp.jedit.gui.FilteredTableModel;Map;List;0.86
Jedit;org.gjt.sp.jedit.gui.FilteredTableModel;Map;Set;1.0
Jedit;org.gjt.sp.jedit.gui.FilteredTableModel;Set;List;0.75
Jedit;org.gjt.sp.jedit.gui.FilteredTableModel;Set;Map;1.0
Jedit;org.gjt.sp.jedit.gui.FontSelectorDialog;List;Map;0.96
Jedit;org.gjt.sp.jedit.gui.FontSelectorDialog;List;Set;0.79
Jedit;org.gjt.sp.jedit.gui.HistoryModel;Map;List;0.86
Jedit;org.gjt.sp.jedit.gui.HistoryModel;Map;Set;1.0
Jedit;org.gjt.sp.jedit.gui.JCheckBoxList.LabelRenderer;List;Map;0.75
Jedit;org.gjt.sp.jedit.gui.JCheckBoxList.LabelRenderer;List;Set;1.0
Jedit;org.gjt.sp.jedit.gui.JCheckBoxList;List;Map;0.88
Jedit;org.gjt.sp.jedit.gui.JCheckBoxList;List;Set;0.85
Jedit;org.gjt.sp.jedit.gui.JEditHistoryModelSaver;Map;List;1.0
Jedit;org.gjt.sp.jedit.gui.JEditHistoryModelSaver;Map;Set;1.0
Jedit;org.gjt.sp.jedit.gui.KeyEventTranslator;Map;List;0.86
Jedit;org.gjt.sp.jedit.gui.KeyEventTranslator;Map;Set;1.0
Jedit;org.gjt.sp.jedit.gui.MarkerViewer;List;Map;0.93
Jedit;org.gjt.sp.jedit.gui.MarkerViewer;List;Set;0.92
