project;class;from;to;metric
JFreechart;org.jfree.chart.renderer.category.BoxAndWhiskerRenderer;List;Map;0.66
JFreechart;org.jfree.chart.renderer.category.BoxAndWhiskerRenderer;List;Set;0.6
JFreechart;org.jfree.chart.renderer.category.ScatterRenderer;List;Map;0.0
JFreechart;org.jfree.chart.renderer.category.ScatterRenderer;List;Set;0.85
JFreechart;org.jfree.chart.renderer.category.StackedBarRenderer3D;List;Map;0.39
JFreechart;org.jfree.chart.renderer.category.StackedBarRenderer3D;List;Set;0.6
JFreechart;org.jfree.chart.renderer.xy.AbstractXYItemRenderer;List;Map;0.7
JFreechart;org.jfree.chart.renderer.xy.AbstractXYItemRenderer;List;Set;0.0
JFreechart;org.jfree.chart.renderer.xy.DeviationRenderer;List;Map;0.31
JFreechart;org.jfree.chart.renderer.xy.DeviationRenderer;List;Set;0.6
JFreechart;org.jfree.chart.renderer.xy.StackedXYAreaRenderer;List;Map;1.0
JFreechart;org.jfree.chart.renderer.xy.StackedXYAreaRenderer;List;Set;1.0
JFreechart;org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer;List;Map;0.66
JFreechart;org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer;List;Set;0.6
JFreechart;org.jfree.chart.renderer.xy.XYDifferenceRenderer;List;Map;0.73
JFreechart;org.jfree.chart.renderer.xy.XYDifferenceRenderer;List;Set;0.0
JFreechart;org.jfree.chart.renderer.xy.XYSplineRenderer;List;Map;0.57
JFreechart;org.jfree.chart.renderer.xy.XYSplineRenderer;List;Set;0.46
JFreechart;org.jfree.chart.servlet.ChartDeleter;List;Map;1.0
JFreechart;org.jfree.chart.servlet.ChartDeleter;List;Set;0.15
JFreechart;org.jfree.chart.urls.CustomCategoryURLGenerator;List;Map;0.39
JFreechart;org.jfree.chart.urls.CustomCategoryURLGenerator;List;Set;0.6
JFreechart;org.jfree.chart.urls.CustomPieURLGenerator;List;Map;0.66
JFreechart;org.jfree.chart.urls.CustomPieURLGenerator;List;Set;0.6
JFreechart;org.jfree.chart.urls.CustomPieURLGenerator;Map;List;0.66
JFreechart;org.jfree.chart.urls.CustomPieURLGenerator;Map;Set;0.98
JFreechart;org.jfree.chart.urls.CustomPieURLGenerator;Set;List;0.0
JFreechart;org.jfree.chart.urls.CustomPieURLGenerator;Set;Map;1.0
JFreechart;org.jfree.chart.urls.CustomXYURLGenerator;List;Map;0.39
JFreechart;org.jfree.chart.urls.CustomXYURLGenerator;List;Set;0.6
JFreechart;org.jfree.chart.util.ResourceBundleWrapper;List;Map;1.0
JFreechart;org.jfree.chart.util.ResourceBundleWrapper;List;Set;0.0
JFreechart;org.jfree.data.ComparableObjectSeries;List;Map;0.31
JFreechart;org.jfree.data.ComparableObjectSeries;List;Set;0.6
JFreechart;org.jfree.data.DefaultKeyedValues2D;List;Map;0.64
JFreechart;org.jfree.data.DefaultKeyedValues2D;List;Set;0.63
JFreechart;org.jfree.data.DefaultKeyedValues;List;Map;0.31
JFreechart;org.jfree.data.DefaultKeyedValues;List;Set;0.82
JFreechart;org.jfree.data.DefaultKeyedValues;Map;List;0.31
JFreechart;org.jfree.data.DefaultKeyedValues;Map;Set;0.62
JFreechart;org.jfree.data.KeyToGroupMap;List;Map;0.8
JFreechart;org.jfree.data.KeyToGroupMap;List;Set;0.32
JFreechart;org.jfree.data.KeyToGroupMap;Map;List;0.52
JFreechart;org.jfree.data.KeyToGroupMap;Map;Set;0.8
JFreechart;org.jfree.data.KeyedObjects2D;List;Map;0.64
JFreechart;org.jfree.data.KeyedObjects2D;List;Set;0.69
JFreechart;org.jfree.data.KeyedObjects;List;Map;0.52
JFreechart;org.jfree.data.KeyedObjects;List;Set;0.6
JFreechart;org.jfree.data.category.DefaultCategoryDataset;List;Map;0.0
