project;class;from;to;metric
JGrapht;org.jgrapht.alg.ConnectivityInspector.MyTraversalListener;List;Map;1.0
JGrapht;org.jgrapht.alg.ConnectivityInspector.MyTraversalListener;List;Set;0.0
JGrapht;org.jgrapht.alg.ConnectivityInspector.MyTraversalListener;Map;List;1.0
JGrapht;org.jgrapht.alg.ConnectivityInspector.MyTraversalListener;Map;Set;1.0
JGrapht;org.jgrapht.alg.ConnectivityInspector.MyTraversalListener;Set;List;0.0
JGrapht;org.jgrapht.alg.ConnectivityInspector.MyTraversalListener;Set;Map;1.0
JGrapht;org.jgrapht.alg.ConnectivityInspector;List;Map;0.0
JGrapht;org.jgrapht.alg.ConnectivityInspector;List;Set;0.0
JGrapht;org.jgrapht.alg.ConnectivityInspector;Map;List;0.55
JGrapht;org.jgrapht.alg.ConnectivityInspector;Map;Set;1.0
JGrapht;org.jgrapht.alg.ConnectivityInspector;Set;List;0.0
JGrapht;org.jgrapht.alg.ConnectivityInspector;Set;Map;0.76
JGrapht;org.jgrapht.alg.CycleDetector.ProbeIterator;List;Map;0.49
JGrapht;org.jgrapht.alg.CycleDetector.ProbeIterator;List;Set;0.69
JGrapht;org.jgrapht.alg.CycleDetector.ProbeIterator;Set;List;0.0
JGrapht;org.jgrapht.alg.CycleDetector.ProbeIterator;Set;Map;1.0
JGrapht;org.jgrapht.alg.CycleDetector;Set;List;0.0
JGrapht;org.jgrapht.alg.CycleDetector;Set;Map;0.97
JGrapht;org.jgrapht.alg.DijkstraShortestPath;List;Map;1.0
JGrapht;org.jgrapht.alg.DijkstraShortestPath;List;Set;0.0
JGrapht;org.jgrapht.alg.DirectedNeighborIndex;Map;List;0.59
JGrapht;org.jgrapht.alg.DirectedNeighborIndex;Map;Set;0.83
JGrapht;org.jgrapht.alg.EdmondsKarpMaximumFlow;List;Map;0.55
JGrapht;org.jgrapht.alg.EdmondsKarpMaximumFlow;List;Set;0.67
JGrapht;org.jgrapht.alg.EdmondsKarpMaximumFlow;Map;List;0.55
JGrapht;org.jgrapht.alg.EdmondsKarpMaximumFlow;Map;Set;1.0
JGrapht;org.jgrapht.alg.EdmondsKarpMaximumFlow;Set;List;0.0
JGrapht;org.jgrapht.alg.EdmondsKarpMaximumFlow;Set;Map;0.92
JGrapht;org.jgrapht.alg.EulerianCircuit;List;Map;1.0
JGrapht;org.jgrapht.alg.EulerianCircuit;List;Set;0.0
JGrapht;org.jgrapht.alg.EulerianCircuit;Set;List;0.0
JGrapht;org.jgrapht.alg.EulerianCircuit;Set;Map;0.92
JGrapht;org.jgrapht.alg.FloydWarshallShortestPaths;Map;List;0.55
JGrapht;org.jgrapht.alg.FloydWarshallShortestPaths;Map;Set;1.0
JGrapht;org.jgrapht.alg.FloydWarshallShortestPaths;Set;List;0.0
JGrapht;org.jgrapht.alg.FloydWarshallShortestPaths;Set;Map;0.0
JGrapht;org.jgrapht.alg.HamiltonianCycle;List;Map;0.31
JGrapht;org.jgrapht.alg.HamiltonianCycle;List;Set;0.6
JGrapht;org.jgrapht.alg.HamiltonianCycle;Set;List;0.0
JGrapht;org.jgrapht.alg.HamiltonianCycle;Set;Map;0.0
JGrapht;org.jgrapht.alg.KShortestPaths;List;Map;1.0
JGrapht;org.jgrapht.alg.KShortestPaths;List;Set;0.0
JGrapht;org.jgrapht.alg.KShortestPaths;Set;List;0.0
JGrapht;org.jgrapht.alg.KShortestPaths;Set;Map;0.62
JGrapht;org.jgrapht.alg.KShortestPathsIterator;Map;List;0.72
JGrapht;org.jgrapht.alg.KShortestPathsIterator;Map;Set;1.0
JGrapht;org.jgrapht.alg.KShortestPathsIterator;Set;List;0.0
JGrapht;org.jgrapht.alg.KShortestPathsIterator;Set;Map;0.97
JGrapht;org.jgrapht.alg.NeighborIndex.Neighbors;List;Map;1.0
JGrapht;org.jgrapht.alg.NeighborIndex.Neighbors;List;Set;0.0
JGrapht;org.jgrapht.alg.NeighborIndex.Neighbors;Map;List;0.54
JGrapht;org.jgrapht.alg.NeighborIndex.Neighbors;Map;Set;0.81
JGrapht;org.jgrapht.alg.NeighborIndex;Map;List;0.66
JGrapht;org.jgrapht.alg.NeighborIndex;Map;Set;0.86
JGrapht;org.jgrapht.alg.RankingPathElementList;List;Map;0.42
JGrapht;org.jgrapht.alg.RankingPathElementList;List;Set;0.0
JGrapht;org.jgrapht.alg.StrongConnectivityInspector;List;Map;0.58
JGrapht;org.jgrapht.alg.StrongConnectivityInspector;List;Set;0.56
JGrapht;org.jgrapht.alg.StrongConnectivityInspector;Map;List;0.68
JGrapht;org.jgrapht.alg.StrongConnectivityInspector;Map;Set;1.0
JGrapht;org.jgrapht.alg.StrongConnectivityInspector;Set;List;0.0
JGrapht;org.jgrapht.alg.StrongConnectivityInspector;Set;Map;0.62
JGrapht;org.jgrapht.alg.TransitiveClosure;Set;List;0.0
JGrapht;org.jgrapht.alg.TransitiveClosure;Set;Map;0.45
