project;class;from;to;metric
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.BidiMapIterator;Map;List;0.87
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.BidiMapIterator;Map;Set;0.94
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.BidiMapIterator;Set;List;0.92
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.BidiMapIterator;Set;Map;1.0
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.EntrySet;Map;List;0.84
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.EntrySet;Map;Set;0.92
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.EntrySetIterator;Map;List;0.8
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.EntrySetIterator;Map;Set;0.8
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.KeySet;Map;List;0.92
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.KeySet;Map;Set;0.92
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.KeySetIterator;Map;List;0.77
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.KeySetIterator;Map;Set;0.89
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.MapEntry;Map;List;0.86
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.MapEntry;Map;Set;1.0
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.Values;Map;List;0.92
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.Values;Map;Set;0.92
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.ValuesIterator;Map;List;0.8
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap.ValuesIterator;Map;Set;0.8
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap;Map;List;0.8
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap;Map;Set;0.84
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap;Set;List;0.92
Collection;org.apache.commons.collections.bidimap.AbstractDualBidiMap;Set;Map;1.0
Collection;org.apache.commons.collections.bidimap.AbstractSortedBidiMapDecorator;Map;List;1.0
Collection;org.apache.commons.collections.bidimap.AbstractSortedBidiMapDecorator;Map;Set;1.0
Collection;org.apache.commons.collections.bidimap.DualTreeBidiMap.BidiOrderedMapIterator;List;Map;1.0
Collection;org.apache.commons.collections.bidimap.DualTreeBidiMap.BidiOrderedMapIterator;List;Set;1.0
Collection;org.apache.commons.collections.bidimap.DualTreeBidiMap.BidiOrderedMapIterator;Map;List;0.86
Collection;org.apache.commons.collections.bidimap.DualTreeBidiMap.BidiOrderedMapIterator;Map;Set;1.0
Collection;org.apache.commons.collections.bidimap.DualTreeBidiMap.ViewMap;Map;List;1.0
Collection;org.apache.commons.collections.bidimap.DualTreeBidiMap.ViewMap;Map;Set;1.0
Collection;org.apache.commons.collections.bidimap.DualTreeBidiMap.ViewMap;Set;List;0.92
Collection;org.apache.commons.collections.bidimap.DualTreeBidiMap.ViewMap;Set;Map;1.0
Collection;org.apache.commons.collections.bidimap.DualTreeBidiMap;Map;List;0.98
Collection;org.apache.commons.collections.bidimap.DualTreeBidiMap;Map;Set;0.97
Collection;org.apache.commons.collections.bidimap.DualTreeBidiMap;Set;List;0.92
Collection;org.apache.commons.collections.bidimap.DualTreeBidiMap;Set;Map;1.0
Collection;org.apache.commons.collections.bidimap.TreeBidiMap.Inverse;Map;List;1.0
Collection;org.apache.commons.collections.bidimap.TreeBidiMap.Inverse;Map;Set;1.0
Collection;org.apache.commons.collections.bidimap.TreeBidiMap.Inverse;Set;List;0.92
Collection;org.apache.commons.collections.bidimap.TreeBidiMap.Inverse;Set;Map;1.0
Collection;org.apache.commons.collections.bidimap.TreeBidiMap;Map;List;0.83
Collection;org.apache.commons.collections.bidimap.TreeBidiMap;Map;Set;0.96
Collection;org.apache.commons.collections.bidimap.TreeBidiMap;Set;List;0.92
Collection;org.apache.commons.collections.bidimap.TreeBidiMap;Set;Map;1.0
Collection;org.apache.commons.collections.bidimap.UnmodifiableSortedBidiMap;Map;List;1.0
