"project";"class";"from";"to";"category";"metric"
"Marauroa";"marauroa.client.ClientFramework";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.client.ClientFramework";"List";"Set";"other";0.0
"Marauroa";"marauroa.server.game.GameServerManager";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.server.game.GameServerManager";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.server.db.DBTransaction";"Map";"List";"access";0.0
"Marauroa";"marauroa.server.db.DBTransaction";"Map";"List";"other";1.0
"Marauroa";"marauroa.server.db.DBTransaction";"Map";"Set";"access";1.0
"Marauroa";"marauroa.server.db.DBTransaction";"Map";"Set";"other";1.0
"Marauroa";"marauroa.server.net.validator.ConnectionValidator";"List";"Map";"deletion";0.0
"Marauroa";"marauroa.server.net.validator.ConnectionValidator";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.server.net.validator.ConnectionValidator";"List";"Map";"other";1.0
"Marauroa";"marauroa.server.net.validator.ConnectionValidator";"List";"Set";"deletion";0.0
"Marauroa";"marauroa.server.net.validator.ConnectionValidator";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.server.net.validator.ConnectionValidator";"List";"Set";"other";0.0
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"List";"Map";"other";1.0
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"List";"Set";"other";0.0
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"Map";"List";"search";1.0
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"Map";"List";"access";0.0
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"Map";"List";"deletion";0.0
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"Map";"List";"other";0.93
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"Map";"Set";"search";1.0
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"Map";"Set";"access";1.0
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"Map";"Set";"deletion";0.0
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"Map";"Set";"other";0.92
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"Set";"List";"insertion";0.0
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"Set";"List";"other";0.0
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"Set";"Map";"insertion";1.0
"Marauroa";"marauroa.server.game.container.PlayerEntryContainer";"Set";"Map";"other";0.0
"Marauroa";"marauroa.common.game.RPClass";"List";"Map";"search";1.0
"Marauroa";"marauroa.common.game.RPClass";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.common.game.RPClass";"List";"Set";"search";0.0
"Marauroa";"marauroa.common.game.RPClass";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.common.game.RPClass";"Map";"List";"search";1.0
"Marauroa";"marauroa.common.game.RPClass";"Map";"List";"access";0.0
