"project";"class";"from";"to";"category";"metric"
"Quickserver";"org.quickserver.net.server.impl.NonBlockingClientHandler";"List";"Map";"deletion";0.0
"Quickserver";"org.quickserver.net.server.impl.NonBlockingClientHandler";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.net.server.impl.NonBlockingClientHandler";"List";"Map";"other";0.0
"Quickserver";"org.quickserver.net.server.impl.NonBlockingClientHandler";"List";"Set";"deletion";0.0
"Quickserver";"org.quickserver.net.server.impl.NonBlockingClientHandler";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.net.server.impl.NonBlockingClientHandler";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.net.server.impl.NonBlockingClientHandler";"Set";"List";"other";0.0
"Quickserver";"org.quickserver.net.server.impl.NonBlockingClientHandler";"Set";"Map";"other";0.0
"Quickserver";"org.quickserver.util.pool.thread.ClientThread";"Map";"List";"access";0.0
"Quickserver";"org.quickserver.util.pool.thread.ClientThread";"Map";"List";"insertion";1.0
"Quickserver";"org.quickserver.util.pool.thread.ClientThread";"Map";"Set";"access";1.0
"Quickserver";"org.quickserver.util.pool.thread.ClientThread";"Map";"Set";"insertion";1.0
"Quickserver";"org.quickserver.util.xmlreader.IpFilterConfig";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.util.xmlreader.IpFilterConfig";"List";"Map";"other";1.0
"Quickserver";"org.quickserver.util.xmlreader.IpFilterConfig";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.util.xmlreader.IpFilterConfig";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.util.xmlreader.InitServerHooks";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.util.xmlreader.InitServerHooks";"List";"Map";"other";1.0
"Quickserver";"org.quickserver.util.xmlreader.InitServerHooks";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.util.xmlreader.InitServerHooks";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.util.xmlreader.ApplicationConfiguration";"Map";"List";"access";0.0
"Quickserver";"org.quickserver.util.xmlreader.ApplicationConfiguration";"Map";"List";"insertion";1.0
"Quickserver";"org.quickserver.util.xmlreader.ApplicationConfiguration";"Map";"List";"other";1.0
"Quickserver";"org.quickserver.util.xmlreader.ApplicationConfiguration";"Map";"Set";"access";1.0
"Quickserver";"org.quickserver.util.xmlreader.ApplicationConfiguration";"Map";"Set";"insertion";1.0
"Quickserver";"org.quickserver.util.xmlreader.ApplicationConfiguration";"Map";"Set";"other";1.0
"Quickserver";"org.quickserver.util.xmlreader.ApplicationConfiguration";"Set";"List";"other";0.0
"Quickserver";"org.quickserver.util.xmlreader.ApplicationConfiguration";"Set";"Map";"other";1.0
"Quickserver";"org.quickserver.util.xmlreader.DatabaseConnectionSet";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.util.xmlreader.DatabaseConnectionSet";"List";"Map";"other";1.0
"Quickserver";"org.quickserver.util.xmlreader.DatabaseConnectionSet";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.util.xmlreader.DatabaseConnectionSet";"List";"Set";"other";0.0
"Quickserver";"java.lang.Object";"List";"Map";"other";1.0
"Quickserver";"java.lang.Object";"List";"Set";"other";0.0
"Quickserver";"java.lang.Object";"Map";"List";"access";0.0
"Quickserver";"java.lang.Object";"Map";"Set";"access";1.0
"Quickserver";"org.quickserver.util.xmlreader.ConfigReader";"Map";"List";"access";0.0
"Quickserver";"org.quickserver.util.xmlreader.ConfigReader";"Map";"List";"insertion";1.0
"Quickserver";"org.quickserver.util.xmlreader.ConfigReader";"Map";"List";"other";1.0
"Quickserver";"org.quickserver.util.xmlreader.ConfigReader";"Map";"Set";"access";1.0
"Quickserver";"org.quickserver.util.xmlreader.ConfigReader";"Map";"Set";"insertion";1.0
"Quickserver";"org.quickserver.util.xmlreader.ConfigReader";"Map";"Set";"other";1.0
"Quickserver";"org.quickserver.util.xmlreader.ConfigReader";"Set";"List";"other";0.0
"Quickserver";"org.quickserver.util.xmlreader.ConfigReader";"Set";"Map";"other";1.0
"Quickserver";"org.quickserver.net.qsadmin.gui.QSAdminGUI";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.net.qsadmin.gui.QSAdminGUI";"List";"Map";"other";1.0
"Quickserver";"org.quickserver.net.qsadmin.gui.QSAdminGUI";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.net.qsadmin.gui.QSAdminGUI";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.net.qsadmin.gui.QSAdminGUI";"Map";"List";"access";0.0
"Quickserver";"org.quickserver.net.qsadmin.gui.QSAdminGUI";"Map";"List";"insertion";1.0
"Quickserver";"org.quickserver.net.qsadmin.gui.QSAdminGUI";"Map";"Set";"access";1.0
"Quickserver";"org.quickserver.net.qsadmin.gui.QSAdminGUI";"Map";"Set";"insertion";1.0
