"project";"class";"from";"to";"category";"metric"
"Jedit";"org.gjt.sp.jedit.browser.VFSDirectoryEntryTable";"Set";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.EditBus.HandlerList";"List";"Map";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.EditBus.HandlerList";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.EditBus.HandlerList";"List";"Map";"other";1.0
"Jedit";"org.gjt.sp.jedit.EditBus.HandlerList";"List";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.EditBus.HandlerList";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.EditBus.HandlerList";"List";"Set";"other";0.92
"Jedit";"org.gjt.sp.jedit.EditBus.HandlerList";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.EditBus.HandlerList";"Map";"List";"other";1.0
"Jedit";"org.gjt.sp.jedit.EditBus.HandlerList";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.EditBus.HandlerList";"Map";"Set";"other";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.PluginList.Branch";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.PluginList.Branch";"List";"Map";"other";0.93
"Jedit";"org.gjt.sp.jedit.pluginmgr.PluginList.Branch";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.PluginList.Branch";"List";"Set";"other";0.92
"Jedit";"org.gjt.sp.jedit.browser.VFSBrowser";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.browser.VFSBrowser";"List";"Map";"deletion";1.0
"Jedit";"org.gjt.sp.jedit.browser.VFSBrowser";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.browser.VFSBrowser";"List";"Map";"other";0.87
"Jedit";"org.gjt.sp.jedit.browser.VFSBrowser";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.browser.VFSBrowser";"List";"Set";"deletion";1.0
"Jedit";"org.gjt.sp.jedit.browser.VFSBrowser";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.browser.VFSBrowser";"List";"Set";"other";0.83
"Jedit";"org.gjt.sp.jedit.browser.VFSBrowser";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.browser.VFSBrowser";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.browser.BrowserCommandsMenu";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.browser.BrowserCommandsMenu";"List";"Map";"other";1.0
"Jedit";"org.gjt.sp.jedit.browser.BrowserCommandsMenu";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.browser.BrowserCommandsMenu";"List";"Set";"other";0.92
"Jedit";"org.gjt.sp.jedit.browser.BrowserCommandsMenu";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.browser.BrowserCommandsMenu";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.browser.BrowserCommandsMenu";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.browser.BrowserCommandsMenu";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.util.Log.LogListModel";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.util.Log.LogListModel";"List";"Map";"deletion";0.8
"Jedit";"org.gjt.sp.util.Log.LogListModel";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.util.Log.LogListModel";"List";"Map";"other";0.87
"Jedit";"org.gjt.sp.util.Log.LogListModel";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.util.Log.LogListModel";"List";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.util.Log.LogListModel";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.util.Log.LogListModel";"List";"Set";"other";0.83
"Jedit";"org.gjt.sp.jedit.syntax.ParserRuleSet";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.syntax.ParserRuleSet";"List";"Map";"deletion";0.6
"Jedit";"org.gjt.sp.jedit.syntax.ParserRuleSet";"List";"Map";"insertion";1.0
