"project";"class";"from";"to";"category";"metric"
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Map";"List";"access";0.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Map";"List";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Map";"List";"other";1.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Map";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Map";"Set";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Map";"Set";"other";1.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Set";"List";"search";0.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Set";"Map";"search";1.0
"PMD";"net.sourceforge.pmd.jsp.ast.JspRuleChainVisitor";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.jsp.ast.JspRuleChainVisitor";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.jsp.ast.JspRuleChainVisitor";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.jsp.ast.JspRuleChainVisitor";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.util.designer.DFAPanel";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.util.designer.DFAPanel";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.rules.design.ExceptionAsFlowControl";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.rules.design.ExceptionAsFlowControl";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.rules.design.SingularField";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.rules.design.SingularField";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.rules.design.SingularField";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.rules.design.SingularField";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.dfa.pathfinder.CurrentPath";"List";"Map";"access";0.75
"PMD";"net.sourceforge.pmd.dfa.pathfinder.CurrentPath";"List";"Map";"deletion";1.0
"PMD";"net.sourceforge.pmd.dfa.pathfinder.CurrentPath";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.dfa.pathfinder.CurrentPath";"List";"Map";"other";0.93
"PMD";"net.sourceforge.pmd.dfa.pathfinder.CurrentPath";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.dfa.pathfinder.CurrentPath";"List";"Set";"deletion";1.0
"PMD";"net.sourceforge.pmd.dfa.pathfinder.CurrentPath";"List";"Set";"insertion";1.0
